
Gurobi 9.5.1 (win64) logging started Tue Sep 19 00:56:07 2023

Set parameter LogFile to value "consol_sol_wt_1_time_36000_ver1.0.txt"
Set parameter TimeLimit to value 36000
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 199781 rows, 74550 columns and 1039284 nonzeros
Model fingerprint: 0x6b59279d
Variable types: 0 continuous, 74550 integer (74550 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+01]
  Objective range  [1e+00, 3e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 8e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 120020 rows and 5580 columns (presolve time = 5s) ...
Presolve removed 124820 rows and 6220 columns (presolve time = 10s) ...
Presolve removed 124780 rows and 6180 columns
Presolve time: 10.14s
Presolved: 75001 rows, 68370 columns, 897913 nonzeros
Variable types: 0 continuous, 68370 integer (68330 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
     0     0  458.56408    0 24933  133.00000  458.56408   245%     - 1427s
     0     0  456.00693    0 23081  133.00000  456.00693   243%     - 1583s
H    0     0                     149.5000000  456.00693   205%     - 1592s
     0     0  455.73495    0 26775  149.50000  455.73495   205%     - 1663s
     0     0  455.52915    0 26444  149.50000  455.52915   205%     - 1683s
     0     0  455.52915    0 26107  149.50000  455.52915   205%     - 1693s
     0     0  453.23683    0 26531  149.50000  453.23683   203%     - 1836s
H    0     0                     172.5000000  453.23683   163%     - 1867s
     0     0  453.20030    0 27028  172.50000  453.20030   163%     - 1900s
     0     0  453.19908    0 26860  172.50000  453.19908   163%     - 1912s
     0     0  453.16072    0 26757  172.50000  453.16072   163%     - 1975s
H    0     0                     196.5000000  453.16072   131%     - 1980s
     0     0  453.14932    0 27072  196.50000  453.14932   131%     - 2007s
     0     0  453.14810    0 26934  196.50000  453.14810   131%     - 2023s
     0     0  453.12521    0 26946  196.50000  453.12521   131%     - 2080s
     0     0  453.12356    0 26783  196.50000  453.12356   131%     - 2110s
     0     0  453.10841    0 27337  196.50000  453.10841   131%     - 2162s
H    0     0                     198.5000000  453.10841   128%     - 2165s
     0     0  453.10840    0 27545  198.50000  453.10840   128%     - 2180s
     0     0  453.10255    0 26903  198.50000  453.10255   128%     - 2211s
